"Keywords","Domain","Last Update Date (data)","Downloads","U ID","Description","Creation Date","Visits","Name","ContactEmail","Owner","Category","Type","Frequency","Department","Derived View"
"aw,water,waste haulers","data.austintexas.gov","08/12/2015 08:47:10 PM +0000","177","pbam-er2r","List of active liquid waste haulers currently permitted by the City of Austin under the Liquid Waste Haulers Program.","08/12/2015 07:37:43 PM +0000","120","Austin Water - List of Active Liquid Waste Haulers","","Patricia Genty Andrade","Utility","table","Monthly","Austin Water","false"
"outcomes,animal,cat,dog,pet,no kill","data.austintexas.gov","10/03/2016 02:19:16 AM +0000","23","2das-429j","Animal Center Intakes from Oct, 1st 2013 to current.","10/28/2015 07:47:05 PM +0000","108","Austin Animal Center Cat Intakes - Chart","","Brad McCarty","Health","chart","Daily","Animal Services","true"
"animals,animal services,august,2013,austin animal center","data.austintexas.gov","11/21/2013 05:19:21 PM +0000","186","4sv9-5zm8","Percentages of live outcomes for cats and dogs from Austin Animal Center in August 2013.","11/21/2013 05:18:21 PM +0000","99","Aug 2013 Austin Animal Center Live Outcome Rate","","Austin Animal Center","Government","table","Monthly","Animal Services","false"
"cat,dog,pet,austin animal center,no kill,data,open government","data.austintexas.gov","08/01/2014 09:16:35 PM +0000","179","bw6v-aead","all cat and dog outcomes for the month of July 2014","08/01/2014 09:16:29 PM +0000","86","July 2014 Austin Animal Center Outcomes","","Austin Animal Center","Government","table","Annually","Animal Services","false"
"","data.austintexas.gov","","58","vjva-hkxu","Chromatograms GC2010 2014-03-19","01/20/2015 10:24:54 PM +0000","78","Chromatograms GC2010 2014-03-19","","Colleen Waters","","blob","Daily","Austin Police ","false"
"event,waiver","data.austintexas.gov","08/06/2015 07:43:26 PM +0000","160","fytz-zuei","List of deadline and rule waivers related to special events occurring in the Right of Way.","08/06/2015 07:43:16 PM +0000","106","Event Waivers","","jhrncir","Permitting","table","Annually","Austin Transportation","false"
"cat,dog,pet,austin animal center,open government,data,no kill","data.austintexas.gov","05/02/2014 09:46:37 PM +0000","171","wtyt-mpzf","cat & dog outcomes for the month of April 2014","05/02/2014 09:43:48 PM +0000","71","April 2014 Austin Animal Center Outcomes","","Austin Animal Center","Government","table","Monthly","Animal Services","false"
"","data.austintexas.gov","05/05/2016 05:02:02 PM +0000","0","wm5h-icv3","","05/05/2016 05:02:02 PM +0000","588","Part II Crime Rate Per 1,000 Population","","jesse.rodriguez","","story","","","false"
"""electric vehicles"",ev,""charging network"",""austin energy""","data.austintexas.gov","09/20/2016 04:29:03 PM +0000","77","cvmg-i6js","Austin Energy operates the Plug-In EVerywhere™ network of plug-in electric vehicle charging stations located at sites throughout the service territory. Some stations are located at City of Austin facilities. The Plug-In EVerywhere™ network is the first in the U.S. to be completely powered by renewable energy via the GreenChoice® program. The initial network of 113 stations successfully fulfills Austin's commitment to the ChargePoint America program that selected Austin as one of only nine metropolitan regions in the country to participate in the federal stimulus grant funded program. Austin Energy is now working with its customers to connect privately-owned stations at workplaces, multi-family residences, and retail outlets to the Plug-In Everywhere™ network. The public-access charging stations provide both Level 1 (110 volts) and Level 2 (220/240 volts) charging capability and are geographically distributed throughout Austin. They are available for use by anyone with a plug-in electric vehicle. Austin Energy offers a $25 six-month subscription membership for unlimited charging at any public-access network location. Or, credit cards can be used for $2 per hour of plugging in.","04/12/2016 06:35:05 PM +0000","186","Electric Vehicles in Austin - Heat Map","","Sarah Lambert","Utility","map","As Needed","Austin Energy","true"
"cat,dog,pet,outcome,austin animal center,data,open government,no kill","data.austintexas.gov","07/02/2014 04:15:35 PM +0000","169","itfg-ism7","all cat and dog outcomes for the month of June 2014","07/02/2014 04:15:30 PM +0000","87","June 2014 Austin Animal Center Outcomes","","Austin Animal Center","Government","table","Monthly","Animal Services","false"
"animals,animal services,august,2013,austin animal center","data.austintexas.gov","09/03/2013 04:11:31 PM +0000","169","nqv2-nbrj","Count of outcomes for cats and dogs from Austin Animal Center in August 2013.","09/03/2013 04:07:53 PM +0000","79","Aug 2013 Austin Animal Center Outcome Count","","Austin Animal Center","","table","Monthly","Animal Services","false"
"household,hazardous,waste,resource recovery,recycle","data.austintexas.gov","09/14/2015 06:18:05 PM +0000","187","jhra-82n2","Data indicating each type and weight of material collected at the Household Hazardous Waste facility for fiscal year 2015.","09/14/2015 06:17:23 PM +0000","96","ARR Household Hazardous Waste Monthly Materials Collection Weight Report","","erin.benoit@austintexas.gov","","table","As Needed","Austin Resource Recovery","false"
"grow green,native and adapted landscape plant guide,grow green participating locations","data.austintexas.gov","04/24/2015 01:10:54 PM +0000","7","bnhk-dwhc","This is a list of nurseries and home improvement stores throughout Austin that have the Grow Green fact sheets and the Native and Adapted Landscape Plant Guides available.","04/24/2015 01:20:32 PM +0000","87","Grow Green Participant Locations","","Watershed Education","Environmental","map","As Needed","Watershed Protection","true"
"grow green,native and adapted landscape plant guide,grow green participating locations","data.austintexas.gov","04/24/2015 01:10:54 PM +0000","155","us2y-viyp","This is a list of nurseries and home improvement stores throughout Austin that have the Grow Green fact sheets and the Native and Adapted Landscape Plant Guides available.","04/23/2015 04:10:06 PM +0000","111","Grow Green Participant Locations","","Watershed Education","Environmental","table","As Needed","Watershed Protection","false"
"landfill,dump,garbage,landfill buffer,development","data.austintexas.gov","","58","mf8i-bqzs","This dataset is used by the City of Austin to locate the buffers around landfills. Not all landfills will necessarily be included. This dataset was created in the year 2007. There are restrictions to development for properties that are within the landfills buffers. This layer represents the buffered geography around the known landfills in and around the City of Austin, Texas. Due to the uncertainty of the boundaries of the landfills; the buffers are used to regulate development in close proximity to the landfills. Areas of known landfill boundaries utilize the 200' buffer. Areas where general knowledge of the landfill location is known utilize a 1500' buffer.","08/14/2015 03:40:53 PM +0000","86","Landfills (Buffered)","","Rob","Environmental","map","As Needed","Watershed Protection","false"
"outcomes,animal,cat,dog,pet,no kill","data.austintexas.gov","10/03/2016 02:19:16 AM +0000","26","r5dg-6cvf","Animal Center Intakes from Oct, 1st 2013 to current.","10/28/2015 07:45:10 PM +0000","101","Austin Animal Center Dog Intakes - Chart","","Brad McCarty","Health","chart","Daily","Animal Services","true"
"","data.austintexas.gov","06/01/2014 07:49:26 PM +0000","20","nin4-cdmn","","06/23/2015 01:27:11 PM +0000","105","ATX Low Water Crossings - Filtered","","Austin 311","","filter/grouped","","","true"
"watershed,regulation,runoff,water quality,development","data.austintexas.gov","","41","yfaf-uvsu","This geospatial dataset represents the watershed boundaries for the City of Austin -- where a raindrop will roll when landing on dry ground. Useful for planning, modeling and analysis. These watershed boundaries are derived through a combination of modeled lines and edited lines based on site plans and field investigations. Use this feature class to answer a question like ""What Watershed do I live in? or What watershed is my development project in?""   This is the authoritative ""baseflow"" watershed coverage; there are other watershed coverages on data.austintexas.gov which are more useful to watershed modellers that have specific differences related to floodplain modelling. This is the best geospatial match to this list: https://data.austintexas.gov/Government/Watersheds/ec78-i9z5 and the IDs are synched.  Not all watersheds in that list have a spatial extent defined for various reasons; contact the data owner for more information.","08/09/2015 04:17:20 PM +0000","101","Watershed Boundary Low Flow","","Rob","Environmental","map","As Needed","Watershed Protection","false"
"cat,dog,pet,austin animal center,open government,no kill,data","data.austintexas.gov","05/02/2014 09:57:03 PM +0000","175","da96-d4bx","cat & dog live outcomes for the month of April 2014","05/02/2014 09:54:14 PM +0000","80","April 2014 Austin Animal Center Live Outcomes","","Austin Animal Center","Government","table","Monthly","Animal Services","false"
"erosion,concern,creek,threatened,structures,trees,locations","data.austintexas.gov","","59","599b-4cjg","Points that shows the location of a resource threatened by stream erosion.  An erosion site is usually identified as a result of a complaint generated by a citizen or city staff.  Erosion sites are then prioritized based upon the type of resource threatened, proximity to the stream bank, stream bank geometry, and likelihood of bank failure; and then stream restoration projects https://data.austintexas.gov/Environmental/Stream-Restoration-Projects/2c74-xuqw are devised to address them.  These points represent locations in the Watershed Protection asset management database.","08/19/2015 08:23:52 PM +0000","115","Erosion Sites","","Rob","Environmental","map","As Needed","Watershed Protection","false"
"aw,wastewater,services,count","data.austintexas.gov","08/31/2015 09:43:14 PM +0000","185","6v99-vnq3","This data set will include total services connections count for wastewater services by customer class and zip code.​","08/31/2015 09:43:08 PM +0000","107","Austin Water - Wastewater Service Connection Count By Zip Code","","Patricia Genty Andrade","Utility","table","Monthly","Austin Water","false"
"","data.austintexas.gov","05/11/2016 01:00:30 PM +0000","0","nq44-vyqb","","05/11/2016 01:00:30 PM +0000","1559","Emergency Medical Services","","JillioG","","story","","","false"
"cat,dog,pet,austin animal center,no kill,open government,data","data.austintexas.gov","09/02/2014 07:53:32 PM +0000","182","6m7k-g59q","cat and dog live outcome rates for the month of August 2014","09/02/2014 07:51:33 PM +0000","70","August 2014 Austin Animal Center Live Outcome Rates","","Austin Animal Center","Government","table","Monthly","Animal Services","false"
"","data.austintexas.gov","10/29/2015 03:12:51 PM +0000","162","7g8v-xxja","","10/29/2015 02:46:56 PM +0000","188","Annual Crime 2014","","Peter Moore","","table","","","false"
"""plus 1"",""utility bill donation"",""utility bill""","data.austintexas.gov","12/18/2015 09:36:36 PM +0000","10","s2xi-svf4","The City of Austin's Plus 1 Fund provides emergency utility bill financial assistance to customers experiencing extreme hardships such as medical illness or sudden job loss. In 2009 the City of Austin doubled to $300,000 the amount of funding made available annually for this program. Beginning in fiscal year 2009, City of Austin employees were given the option to donate to the Plus 1 Fund through the City's annual Combined Charities Campaign, which raises money for local and regional charitable groups. Additionally, utility customers have the option to donate to the Plus 1 Fund when they make their monthly utility bill payments. Plus 1 funding is distributed to customers by more than a dozen social service agencies including Travis County Family Services and Meals on Wheels.","12/18/2015 09:41:54 PM +0000","89","Plus 1 Fund - Number of Households Served","","Sarah Lambert","Utility","chart","Annually","Austin Energy","true"
"restaurant inspection scores","data.austintexas.gov","","4","uthw-a7ih","Restaurant Inspection Scores","08/14/2015 12:13:31 PM +0000","128","Restaurant Inspection Scores","","Patrick Weaver","Health","external dataset","Weekly","Health and Human Services","false"
"psa,power supply adjustment,fuel charge,austin energy,energy","data.austintexas.gov","05/16/2016 09:48:31 PM +0000","166","e7fj-wxvd","Austin Energy’s Power Supply Adjustment (PSA) and fuel charge are reviewed annually. Generally, changes to the fuel rate are effective on Jan. 1 for the calendar year. Effective FY 2013, the power supply adjustment is set as part of the annual budget process. Fuel Charge rates are established based on the type of electric service required by a customer and fall into one of three levels: secondary, primary or transmission; Primary Level Customers - This rate is applicable to electric service required by any customer who receives service at 12,500 volts (nominal) to 69,000 volts and whose demand for power does not meet or exceed 3,000 kilowatts at any interval during the most recent June through September billing months as determined by the City of Austin.; Secondary Level Customers - This rate is applicable to electric service required by residential customers in single-family dwellings, mobile homes, townhouses, or individually metered apartment units. It is also applicable to any business that does not receive power at a primary or transmission level. Currently, some 30,000 businesses receive the secondary Fuel Charge rate; Transmission Level Customers - This rate is applicable to electric service required by any customer who receives service at 69,000 volts (nominal) or higher. This rate shall be applied for a minimum of one year.; Primary and transmission voltage level customers (about 90 industrial customers) essentially receive power directly from a substation. This results in reduced line losses between the point of generation and delivery to the customer. These customers also install and maintain their own equipment at their site needed to step down the voltage before the power enters their facility. As a result, primary and transmission customers pay a slightly lower Fuel Charge.","08/20/2015 02:47:04 PM +0000","182","Power Supply Adjustment/Fuel Charge","","Shannon Wisner","Utility","table","Annually","Austin Energy","false"
"convention center,recycle,reuse,landfill,waste","data.austintexas.gov","07/20/2015 01:49:47 PM +0000","20","6nnt-cnki","This dataset shows the Convention Center recycling efforts during fiscal year 2013. Data includes fiscal year, quarter and month of collection, the category (Recycling or waste), sub-category (recycled material, reused material and material sent to the landfill) and the weight in pounds for each.","07/20/2015 01:35:23 PM +0000","101","ACCD :: Discarded Materials – Fiscal Year 2013 – Summary view by Category and Sub-Category","","Chris G Hernandez","Environmental","filter/grouped","Annually","Convention Center","true"
"","data.austintexas.gov","","76","9u8x-6wx2","2010 CAR Report","01/20/2015 08:36:24 PM +0000","75","2010 CAR Report","","Colleen Waters","","blob","Daily","Austin Police ","false"
"","data.austintexas.gov","","52","c38f-4z9p","This wiki offers how-to tutorials for basic and common tasks using data from the portal and the Socrata platform. This project was initiated by Open Austin volunteers at the 2014 ATX Hack for Change at St. Edward's University.","08/08/2014 06:31:08 PM +0000","65","Data Portal How-To Wiki","","opendataatx","","external dataset","As Needed","External Source","false"
"cat,dog,pet,austin animal center,no kill,data,open government","data.austintexas.gov","10/01/2014 09:52:42 PM +0000","168","rbfq-6fgu","cat and dog live outcome rates for the month of September 2014","10/01/2014 09:50:43 PM +0000","75","September 2014 Austin Animal Center Live Outcome Rate Data","","Austin Animal Center","Government","table","Monthly","Animal Services","false"
"convention center,recycle,reuse,landfill,waste","data.austintexas.gov","07/20/2015 01:26:33 PM +0000","22","dj74-xg66","This dataset shows the Convention Center recycling efforts during fiscal year 2014. Data includes fiscal year, quarter and month of collection, the category (Recycling or waste), sub-category (recycled material, reused material and material sent to the landfill) and the weight in pounds for each.","07/20/2015 02:17:05 PM +0000","114","ACCD :: Discarded Materials – Fiscal Year 2014 – Summary view by Category and Sub-Category - Stacked Bar Chart by Quarter","","Chris G Hernandez","Environmental","chart","Annually","Convention Center","true"
"mobility,cpo,atd,pwd,transportation","data.austintexas.gov","05/09/2016 02:01:58 PM +0000","19","ctjd-xkrz","As great as Austin is, we struggle with transportation and mobility. Whether you drive, walk, bike, or take transit, your City Council wants to know your priorities for improving Austin’s transportation network. Between March 21 and May 8, the City is asking for your feedback. Find us at any of the locations listed to be heard; The information you provide during Mobility Talks will be presented to the Mobility Committee of the City Council on June 8, 2016. The meeting will be at 3 p.m. in Council Chambers at City Hall, 301 W. 2nd Street. Learn more about Mobility Talks here www.mobilitytalks.org.","03/24/2016 04:08:45 PM +0000","145","Testing Map","","Xio Alvarez","Capital Planning","map","As Needed","Capital Planning Office","true"
"","data.austintexas.gov","05/11/2016 01:53:42 PM +0000","0","xm6x-8vij","","05/11/2016 01:53:42 PM +0000","1277","Municipal Court","","JillioG","","story","","","false"
"lrcsp strategic investment areas,cip,cpo","data.austintexas.gov","","47","84xi-bque","The Strategic Investment Areas portrayed in this data set are based on the Strategic Investment Areas Overlay Analysis, which is part of the City of Austin’s Long-Range Capital Improvement Program Strategic Plan (LRCSP)*. Due to the limitations of the platform, the data is not displayed how it is meant to be viewed. Please see the dark red “About” tab for a thumbnail of how the map is ideally viewed and two attachments. One attachment is a description of the metadata and the other attachment provides instructions for how to view the data properly; The Strategic Investment Areas map shows the geographic location of unfunded or long-term infrastructure needs identified in the FY 2016-17 LRCSP and the degree to which those future investments could enable recommendations in multiple City of Austin initiatives, as identified in the LRCSP Strategic Areas map (see the CPO LRCSP Strategic Areas dataset on the Open Data Portal). The degree of overlap with multiple City initiatives is indicated by darker shades. The goal of the analysis is to identify strategic areas for collaboration and coordination of capital investment related to implementing Imagine Austin. The data is organized around Imagine Austin Priority Program topic areas: Compact and Connected, Nature and City, Creativity and Economy, Healthy and Affordable. The purpose of the LRCSP Strategic Investment Areas Overlay Analysis is to support the identification of: (a) Strategic investment in infrastructure that implements Imagine Austin, (b) Potential cost savings and other efficiencies and (c) Improved outcomes for our capital investments. NOTE: the areas are updated periodically to respond to changes in both infrastructure needs and City plans and policies, as reflected in City Council-approved initiatives; *The Long-Range CIP Strategic Plan is produced annually, and the Planning Commission uses the plan to make its annual recommendation to the City Manager about projects necessary or desirable to implement the comprehensive plan, per its role in the City Charter. Learn more about the plan or download it at Austintexas.gov/strategicplan.","08/13/2015 10:02:24 PM +0000","97","Long-Range CIP Strategic Plan - Strategic Investment Areas","","Ashley Parsons","Capital Planning","map","Annually","Capital Planning Office","false"
"recycling,route,arr","data.austintexas.gov","","64","bj3a-ar3q","Bi-weekly Recycling Routes throughout the City of Austin","07/14/2015 05:18:43 PM +0000","83","Recycling Routes","","erin.benoit@austintexas.gov","","map","","","false"
"","data.austintexas.gov","05/11/2016 01:19:34 PM +0000","0","3jfc-eb8s","","05/11/2016 01:19:34 PM +0000","1327","Fire","","JillioG","","story","","","false"
"cat,dog,pet,austin animal center,no kill,data,open government","data.austintexas.gov","10/01/2014 08:56:24 PM +0000","186","e2a3-3mi6","all cat and dog outcomes for the month of September 2014","10/01/2014 08:53:46 PM +0000","87","September 2014 Austin Animal Center Outcome Data","","Austin Animal Center","Government","table","Monthly","Animal Services","false"
"","data.austintexas.gov","","63","7e88-fna8","2010 ASCLD- LAB Annual Internal Audit Report","01/20/2015 08:07:35 PM +0000","71","2010 ASCLD- LAB Annual Internal Audit Report","","Colleen Waters","","blob","Daily","Austin Police ","false"
"office of real estate services,ores,property,city-owned,leased","data.austintexas.gov","","52","3a2g-g96r","This dataset represents properties leased by the City of Austin through the Office of Real Estate Services. This is a working dataset for employees of the Office of Real Estate Services, and is not represented to be complete or accurate. This data is not survey grade and should not be used for any legal purposes.","07/15/2015 08:09:14 PM +0000","112","Property Leased by the City of Austin through the Office of Real Estate Services","","Charles Boas","Government","map","As Needed","Office of Real Estate","false"
"cat,dog,pet,austin animal center,no kill,data,open government","data.austintexas.gov","09/02/2014 07:47:09 PM +0000","167","ubs4-99wr","all cat and dog outcomes for the month of August 2014","09/02/2014 07:42:47 PM +0000","81","August 2014 Austin Animal Center Outcomes Data","","Austin Animal Center","Government","table","Monthly","Animal Services","false"
"aw,protected species","data.austintexas.gov","","25","fxk4-w35n","List of protected species in the Balcones Canyon Lands Preserve","06/29/2015 06:54:53 PM +0000","76","Austin Water - Protected Species List","","Patricia Genty Andrade","Utility","external dataset","As Needed","Austin Water","false"
"2010,tree,canopy,forest","data.austintexas.gov","","13","tbfz-rcnt","The 2010 Tree canopy GIS layer was derived from 4 band, 1 M resolution, Color Infrared (CIR), 2010 NAIP aerial imagery, using supervised image classification techniques. The National Agriculture Imagery Program (NAIP) acquires aerial imagery during the agricultural growing seasons in the continental U.S. NAIP is administered by the USDA's Farm Service Agency (FSA) through the Aerial Photography Field Office in Salt Lake City. This ""leaf-on"" imagery is used as a base layer for GIS programs in FSA's County Service Centers, and is used to maintain the Common Land Unit (CLU) boundaries. For planning purposes only, does not represent individual trees. Dataset does not account for individual tree species or any metric for tree canopy height. No warranty is made by the City regarding accuracy or completeness.","05/04/2015 08:30:32 PM +0000","82","Tree Canopy 2010","","Aubrey Drescher","Geodata","external dataset","As Needed","Communication and Technology Management","false"
"marbella,annexation,street ranges","data.austintexas.gov","","52","six2-p7d6","Case #: C7a-2013-0006 Ordinance #: 20131024-028 Effective: Nov. 4. 2013 FULL PURPOSE ANNEXATION; RESPONSE AREAS: APD RA: FRANK 3 AFD RA: 00-3612 and 00-2403 EMS RA: SOUTH","11/05/2013 05:48:27 PM +0000","75","Marbella Annexation","","Sara","","map","As Needed","Communication and Technology Management","false"
"aw,wastewater,treated","data.austintexas.gov","02/17/2016 04:21:30 PM +0000","155","vuwy-s6qv","​​Millions of gallons of wastewater treated by year, month and plant.","08/31/2015 10:30:29 PM +0000","96","Austin Water - Gallons of Wastewater Treated","","Patricia Genty Andrade","Utility","table","Monthly","Austin Water","false"
"aw,water,leaks,work orders","data.austintexas.gov","","15","gzuf-exub","Map of priority 1 water leaks, Repaired Last 24hrs, Work Orders Pending Repair and Pending Inspection.","08/25/2015 07:26:14 PM +0000","91","Austin Water - Priority 1 Water Leak Map","","Patricia Genty Andrade","Utility","external dataset","As Needed","Austin Water","false"
"""bad debt"",debt,""money owed""","data.austintexas.gov","09/12/2016 07:22:08 PM +0000","171","6zan-sbz2","Bad Debt Expense; Bad debt expense is an estimate of the amount of revenue billed in any fiscal year that is not collected. The FY 2013 bad debt expense represents a final, audited number based on an analysis of collectability. Austin Energy has experienced growth in receivable balances for active accounts due to a postponement of utility cut-offs for delinquent payment during Austin Energy’s transition to the new customer billing system.","08/18/2015 03:19:37 PM +0000","191","Bad Debt Expense","","Shannon Wisner","Utility","table","Annually","Austin Energy","false"
"","data.austintexas.gov","08/27/2015 03:21:45 PM +0000","149","cvnz-fq2z","","08/27/2015 03:21:19 PM +0000","55","Bike Fix It","","Betty","","table","As Needed","Parks & Recreation","false"
"","data.austintexas.gov","05/18/2016 02:03:06 PM +0000","164","w8qc-ggfy","","10/06/2015 05:56:24 PM +0000","69","Golf Atx Locations","","Betty","Government","table","As Needed","Parks & Recreation","false"
"aw,water,pumpage,capita","data.austintexas.gov","08/24/2015 07:43:32 PM +0000","181","wfm8-s7zc","​Average total gallons of water pumped per capita.","08/24/2015 07:43:27 PM +0000","85","Austin Water - Gallons of Water Pumped per Capita","","Patricia Genty Andrade","Utility","table","Annually","Austin Water","false"
"","data.austintexas.gov","10/02/2016 10:01:09 AM +0000","247","vyev-yeag","This is a breakdown of fuel usage by ICMA class","06/29/2015 03:50:42 PM +0000","108","COA FUEL BY ICMA  Class","","Fleet Services","Environmental","table","As Needed","Fleet Services","false"
"","data.austintexas.gov","","88","xyrq-49x7","2010 Austin PD Notification Of Extension","01/20/2015 08:34:40 PM +0000","63","2010 Austin PD Notification Of Extension","","Colleen Waters","","blob","Daily","Austin Police ","false"
"eoc,hsem,disaster,flood","data.austintexas.gov","08/06/2015 09:02:36 PM +0000","157","w635-mmjr","A list of activations of the Austin/Travis County Emergency Operation Center (EOC) in 2014 and YTD 2015.","08/06/2015 06:48:01 PM +0000","89","EOC Activations - City Open Data   HSEM","","Jake Dirr","Public Safety","table","As Needed","Office of Homeland Security and Emergency Management","false"
"aw,water quality,reports","data.austintexas.gov","","116","cspr-esir","Austin Water's annual Drinking Water Quality Report provides information on Austin’s drinking water. The United States Environmental Protection Agency (EPA) requires that all drinking water suppliers in the country provide a water quality report to their customers on a yearly basis.","09/03/2015 03:07:03 PM +0000","110","Austin Water - Drinking Water Quality Report","","Patricia Genty Andrade","Utility","blob","Annually","Austin Water","false"
"carbon footprint,greenhouse gas,emissions","data.austintexas.gov","08/07/2015 06:17:36 PM +0000","196","acyh-8suc","Summary of City of Austin's Utility & Municipal Operations Greenhouse Gas Emissions by source and year (MTCO2e)","08/07/2015 06:17:26 PM +0000","82","Municipal Carbon Footprint","","jenellmoffett","Environmental","table","Annually","Office of Sustainability","false"
"budget,controller,program,department,dimension,identifiers","data.austintexas.gov","09/12/2016 11:59:36 AM +0000","78","du7k-5nxt","This table is a summary of information published elsewhere on this portal. It contains standardized codes for City Programs and Departments. These codes, when integrated with other datasets, can be used to analyze service trends across programs and departments.","10/17/2015 01:35:28 AM +0000","80","Budget Office Program Codes","","Hailey Pate","Government","filter/grouped","As Needed","Financial Services","true"
"water quality,watershed protection,creeks,eii,environmental integrity index,ali,austin lakes index","data.austintexas.gov","","45","xnw2-4z4z","The Environmental Integrity Index (EII) is a tool developed by the City of Austin’s Environmental Resource Management Division to monitor and assess the ecological integrity and the degree of impairment in Austin’s watersheds.  This feature class provides the most recent results from the EII for the City of Austin Watershed Protection Department’s Masterplanning process.  Similarly, the Austin Lakes Index was designed to provide a yearly assessment of the ecological integrity of Lake Austin, Lady Bird Lake, and Lake Long.  This is the geospatial version of this dataset: https://data.austintexas.gov/Environmental/Watershed-Reach-Index-and-Problem-Scores/vk3r-6prc and both can be ""seen in action"" in the ""Find Your Watershed Viewer""  http://www.austintexas.gov/GIS/FindYourWatershed/","08/09/2015 06:10:01 PM +0000","82","Watershed Reach Integrity Scores","","Rob","Environmental","map","Annually","Watershed Protection","false"
"""austin energy"" ""plus 1""","data.austintexas.gov","07/06/2016 02:09:16 PM +0000","12","ghkv-t88i","The City of Austin's Plus 1 Fund provides emergency utility bill financial assistance to customers experiencing extreme hardships such as medical illness or sudden job loss. In 2009 the City of Austin doubled to $300,000 the amount of funding made available annually for this program. Beginning in fiscal year 2009, City of Austin employees were given the option to donate to the Plus 1 Fund through the City's annual Combined Charities Campaign which raises money for local and regional charitable groups. Additionally, utility customers have the option to donate to the Plus 1 Fund when they make their monthly utility bill payments. Plus 1 funding is distributed to customers by more than a dozen social service agencies including Travis County Family Services and Meals on Wheels.","12/29/2015 02:56:56 PM +0000","97","Plus 1 Funding Source Comparison","","Sarah Lambert","Utility","chart","Annually","Austin Energy","true"
"convention center,recycle,reuse,landfill,waste","data.austintexas.gov","07/20/2015 01:26:33 PM +0000","21","xeas-mxu7","This dataset shows the Convention Center recycling efforts during fiscal year 2014. Data includes fiscal year, quarter and month of collection, the category (Recycling or waste), sub-category (recycled material, reused material and material sent to the landfill) and the weight in pounds for each.","07/20/2015 02:14:48 PM +0000","98","ACCD :: Discarded Materials – Fiscal Year 2014 – Summary view by Category and Sub-Category","","Chris G Hernandez","Environmental","filter/grouped","Annually","Convention Center","true"
"mosquito","data.austintexas.gov","","4","4cac-8th7","","08/14/2015 12:08:53 PM +0000","89","Mosquito Surveillance","","Patrick Weaver","Health","external dataset","Annually","Health and Human Services","false"
"""heat rate"",btu","data.austintexas.gov","07/07/2016 08:07:20 PM +0000","142","ekzc-6qg9","The heat rate is the number of British Thermal Units (BTU) needed to produce a kilowatt-hour (kWh) of electricity. In other words, the average heat rate is a measurement of how efficiently a generating unit converts fuel into electricity. The lower the heat rate, the higher the efficiency.; ; The system average heat rate will vary somewhat year-to-year due to a number of factors including outages and market conditions. The approximately one percent increase for FY 2012 was primarily due to lower demand and lower natural gas prices which resulted in lower dispatch of Fayette Power Project (FPP). The reduced levels of production mean that units operated at lower, less efficient levels.","08/17/2015 02:50:44 PM +0000","124","Heat Rate","","Shannon Wisner","Utility","table","Annually","Austin Energy","false"
"aw,water,quality,reports","data.austintexas.gov","","80","hy9r-4smy","Latest Monthly Drinking Water Quality Report.","09/03/2015 04:11:43 PM +0000","72","Austin Water - Monthly Drinking Water Quality Report","","Patricia Genty Andrade","Utility","blob","Monthly","Austin Water","false"
"","data.austintexas.gov","10/02/2016 10:00:50 AM +0000","216","jmuq-5usm","Information on vehicles by class type","06/29/2015 04:05:34 PM +0000","92","COA INFO BY CLASS","","Fleet Services","","table","As Needed","Fleet Services","false"
"","data.austintexas.gov","05/12/2016 03:59:59 PM +0000","0","patt-h8xx","","05/12/2016 03:59:59 PM +0000","840","Austin Public Library","","jesse.rodriguez","","story","","","false"
"2013,planimetrics,transportation,impervious,cover,road,street,double,dual","data.austintexas.gov","","20","akv5-4xs9","Double line streets are created from heads up digitizing using 2012/2013 Orthoimagery and 2012 Lidar where Orthoimagery is not available. This product has been produced by the Communications and Technology Department for the sole purpose of geographic reference. No warranty is made by the City of Austin regarding specific accuracy or completeness.","05/04/2015 08:52:53 PM +0000","62","Double Line Streets 2013","","Aubrey Drescher","Geodata","external dataset","As Needed","Communication and Technology Management","false"
"","data.austintexas.gov","10/22/2015 06:04:23 PM +0000","139","pzmf-qcv7","","10/22/2015 06:04:02 PM +0000","166","COA Key Indicators Pilot","","Christine Robinson","","table","As Needed","Other","false"
"","data.austintexas.gov","10/02/2016 10:00:22 AM +0000","213","f6gm-a8j6","This is a breakdown of fuel usage from the City of Austin by type of fuel consumed","06/29/2015 03:30:15 PM +0000","82","COA ODP FUELBYTYPE","","Fleet Services","Environmental","table","As Needed","Fleet Services","false"
"","data.austintexas.gov","10/29/2015 02:44:27 PM +0000","0","vxkv-7cvi","","10/29/2015 02:59:02 PM +0000","168","Response to Resistance 2014","","Peter Moore","","data_lens","","","true"
"","data.austintexas.gov","12/17/2015 08:52:18 PM +0000","148","m87q-f83v","","09/22/2015 01:59:03 PM +0000","65","Zilker Botanical Garden Sept-Nov 2015 events","","Betty","","table","As Needed","Parks & Recreation","false"
"cat,dog,pet,austin animal center,no kill,open government,data","data.austintexas.gov","09/02/2014 07:38:21 PM +0000","157","qyb8-tmu7","all cat and dog intakes for the month of August 2014","09/02/2014 07:36:21 PM +0000","74","August 2014 Austin Animal Center Intakes Data","","Austin Animal Center","Government","table","Monthly","Animal Services","false"
