U ID,Derived View,Domain,Type,Name,Description,Creation Date,Last Update Date (data),Category,Keywords,Downloads,Visits,Department,Owner,ContactEmail,Frequency
86hx-9vz2,true,data.austintexas.gov,map,SPUR Retail Locations,,03/28/2016 09:57:35 PM +0000,04/01/2016 05:36:33 PM +0000,,,15,51,Austin Energy,Sarah Lambert,,As Needed
x4vz-3xdy,false,data.austintexas.gov,table,Airport Annual Performance Measures,Annual Performance Measures from Austin-Bergstrom International Airport. Covers a broad spectrum of categories from our four Strategic Focus areas:  Customer and Community Value; Operational Excellence; Environmental Stewardship; and Economic Sustainability.,07/06/2015 07:10:09 PM +0000,07/06/2015 07:22:01 PM +0000,,"airport,performance,resources,wildlife,recycling,employees,staff,de-icing,carbon footprint,security,arff,revenue,costs,customers,injuries,diversity,finance",212,152,Aviation,Holly,,Annually
pwwh-9b5b,true,data.austintexas.gov,chart,Austin Lakes Index - Stacked Bar Comparison,"The Environmental Integrity Index (EII) is a tool developed by the City of Austin’s Environmental Resource Management Division to monitor and assess the ecological integrity and the degree of impairment in Austin’s watersheds.  This feature class provides the most recent results from the EII for the City of Austin Watershed Protection Department’s Masterplanning process.  Similarly, the Austin Lakes Index was designed to provide a yearly assessment of the ecological integrity of Lake Austin, Lady Bird Lake, and Lake Long.

Index scores (from both the EII and ALI) are an integer between 0 and 100.  Excellent  88-100 | Very Good 76-87 | Good 63-75 | Fair 51-62 | Marginal38-50 | Poor 26-37 | Bad 13-25 | Very Bad 0-12.

Problem Scores are an integer between 1 and 100 with 1 being ""No Problem"" and 100 being a highest priority.

EII Methodology:

http://www.austintexas.gov/watershed_protection/publications/document.cfm?id=186267

Master Plan Problem Score Methodology:

http://www.austintexas.gov/watershed_protection/publications/document.cfm?id=186352

Lake Index Methodology:

http://www.austintexas.gov/watershed_protection/publications/document.cfm?id=196479",04/23/2015 07:57:44 PM +0000,04/10/2015 04:36:50 PM +0000,Environmental,"water quality,watershed protection,creeks,eii,environmental integrity index,ali,austin lakes index",24,131,Watershed Protection,AustinGo,,Annually
te28-y5jv,true,data.austintexas.gov,chart,City and County ILA Response Times-Line Chart,,03/04/2014 07:16:24 PM +0000,03/04/2014 07:05:00 PM +0000,Government,,23,128,Emergency Medical Services,hugheyp,,Annually
3maj-7ecz,false,data.austintexas.gov,table,Travis County Community-wide Greenhouse Gas Emissions Inventory,Summary of Travis County community-wide greenhouse gas emissions inventory by source and year (MTCO2e),08/07/2015 06:23:16 PM +0000,08/07/2015 06:23:31 PM +0000,Environmental,"carbon footprint,greenhouse gas,emissions",184,124,Office of Sustainability,jenellmoffett,,Biannually
7it9-7pjx,false,data.austintexas.gov,table,December 2013 Live Outcomes,,01/03/2014 04:32:10 PM +0000,01/03/2014 04:38:30 PM +0000,Government,"cat,dog,austin animal center,live outcome",178,114,Animal Services,Austin Animal Center,,Monthly
t3a6-36x5,false,data.austintexas.gov,map,Greater Austin FEMA Floodplain,"This is a geo-referenced version of the PDF FIRM maps produced by FEMA and used to make determinations of floodplain status for the purposes of Flood Insurance. This is the same dataset used in the Floodpro tool found online through http://www.austintexas.gov/.  That tool uses Silverlight technology, as such, this interface is offered as an alternative visualization.  Due to the complexity of these systems and the limitations of map accuracy and the relationship between the source data and the online basemap, these maps cannot serve as a functional replacement for consultations with FEMA staff, City staff. trained professional engineers, floodplain managers or flood insurance officials with professional  knowledge regarding flooding and the regulations related to flood insurance.",08/09/2015 06:37:18 PM +0000,,Environmental,"flood,fema,firm,insurance,floodplain,development",87,160,Watershed Protection,Rob,,As Needed
iff7-mrfg,false,data.austintexas.gov,story,Number of Spay/Neuters Performed,,04/27/2016 06:33:51 PM +0000,04/27/2016 06:33:51 PM +0000,,,0,202,,jesse.rodriguez,,
psx7-v95h,false,data.austintexas.gov,map,Tree Planting Prioritization 2014,"This dataset shows U.S. Census Tract (2010) boundaries containing tabular data related to tree planting priorities. Prioritization is based on 31 GIS datasets summarized into eight broad categories: public health & safety, air quality, environmental justice, water quality, critical places, forest replenishment, forest preservation & development impacts, and urban heat island.

The City of Austin’s Tree Planting Prioritization serves as a decision support tool for locating tree planting sites for Austin’s October through March tree planting season.",07/08/2015 01:02:58 PM +0000,,Environmental,"tree,planting,prioritization,urban forestry,arborist,environment,urban,forest,master plan",91,204,Development Services,Julia,,As Needed
up99-pfez,false,data.austintexas.gov,table,January 2014 Austin Animal Center Outcomes,A count of all cat and dogs outcomes for the month of January 2014.,02/03/2014 08:11:19 PM +0000,02/03/2014 08:13:12 PM +0000,Government,"cat,dog,animal center,data,open government",193,120,Animal Services,Austin Animal Center,,Monthly
uizf-mcbc,false,data.austintexas.gov,table,Austin Water - Water Service Connection Count By Zip Code,This data set will include total services connections count for water services by customer class and zip code.​,08/31/2015 09:38:10 PM +0000,08/31/2015 09:38:21 PM +0000,Utility,"aw,water,services,count",198,215,Austin Water,Patricia Genty Andrade,,Monthly
v97i-k9gj,true,data.austintexas.gov,map,SPUR Air Purifiers,,03/28/2016 10:21:20 PM +0000,04/01/2016 05:36:33 PM +0000,,,12,36,Austin Energy,Sarah Lambert,,As Needed
eyec-w6nz,false,data.austintexas.gov,table,Austin Water - Registered Water Services Technicians,​A list of registered Water Services Technicians and their employers that provide the services required from customers that are regulated under the Cross Connection/Water Protection Program.,08/14/2015 08:23:42 PM +0000,08/14/2015 08:23:48 PM +0000,Utility,"aw,water,technicians",173,142,Austin Water,Patricia Genty Andrade,,As Needed
y6ng-5ymj,false,data.austintexas.gov,table,ACCD :: Discarded Materials – Fiscal Year 2013,"This dataset shows the Convention Center recycling efforts during fiscal year 2013. Data includes fiscal year, quarter and month of collection, the category (Recycling or waste), sub-category (recycled material, reused material and material sent to the landfill) and the weight in pounds for each.",07/20/2015 01:18:26 PM +0000,07/20/2015 01:49:47 PM +0000,Environmental,"convention center,recycle,reuse,landfill,waste",168,178,Austin Convention Center,Chris G Hernandez,,Annually
krsq-4num,false,data.austintexas.gov,table,March 2014 Austin Animal Center Outcomes,All cat and dogs outcomes for March 2014,04/01/2014 05:43:58 PM +0000,04/01/2014 05:45:45 PM +0000,Government,"cat,dog,pet,animal,austin animal center,open government,data,no kill",182,95,Animal Services,Austin Animal Center,,Monthly
h3yb-xcbw,true,data.austintexas.gov,chart,Austin Animal Center Cat Outcomes - Chart,"Animal Center Outcomes from Oct, 1st 2013 to current.",10/26/2015 09:27:41 PM +0000,10/03/2016 02:20:27 AM +0000,Health,"outcomes,animal,cat,dog,pet,no kill",23,112,Animal Services,Brad McCarty,,Daily
37ft-tmhr,false,data.austintexas.gov,table,Parkranger 01 2015,,01/12/2015 08:10:02 PM +0000,05/10/2016 06:10:44 PM +0000,,,146,110,Parks & Recreaction,Betty,,As Needed
cu49-7a5a,false,data.austintexas.gov,table,April 2014 Austin Animal Center Intakes,cat & dog intakes for the month of April 2014,05/02/2014 09:36:50 PM +0000,05/02/2014 09:38:42 PM +0000,Government,"cat,dog,pet,austin animal center,data,open government,no kill",196,103,Animal Services,Austin Animal Center,,Monthly
5nys-nsyc,false,data.austintexas.gov,table,EMS - Fleet Maintenance,"This table contains data on maintenance of the department response fleet – ambulances, command trucks, and utility vehicles.  It includes the number of vehicles due for preventative maintenance each month, and the percentage that are serviced.  The data is broken out by the three vehicle types in addition to describing overall performance.",12/10/2015 07:49:31 PM +0000,09/10/2016 03:30:12 PM +0000,Public Safety,"ems,atcems,fleet",171,146,Emergency Medical Services,Austin-Travis County EMS,,Monthly
hc6c-x49h,true,data.austintexas.gov,chart,Austin Animal Center Live Outcomes - Chart,"Animal Center Outcomes from Oct, 1st 2013 to current.",10/28/2015 08:18:02 PM +0000,10/03/2016 02:20:27 AM +0000,Health,"outcomes,animal,cat,dog,pet,no kill",21,107,Animal Services,Brad McCarty,,Daily
dque-zfgd,false,data.austintexas.gov,table,May 2014 Austin Animal Center Outcomes,cat & dog outcomes of the month of May 2014,06/02/2014 09:08:11 PM +0000,06/02/2014 09:09:34 PM +0000,Government,"cat,dog,pet,austin animal center,no kill,data,open government",183,83,Animal Services,Austin Animal Center,,Monthly
x2td-23yp,false,data.austintexas.gov,map,Hazardous Pipelines (Buffer),The purpose of the restricted pipeline area is to regulate development near hazardous pipelines as defined in COA Ordinance: 030410-12. Restricted pipeline area includes an area within 25 feet of a hazardous pipeline and an area within a hazardous pipeline easement.  THESE ARE NOT THE ONLY AREAS WITH PIPELINES in the City of Austin.  More information: http://www.austintexas.gov/department/development-near-hazardous-liquids-pipelines,08/14/2015 06:54:35 PM +0000,,Environmental,"planning cadastre,pipelines,hazardous features,zoning overlays,development",60,141,Watershed Protection,Rob,,As Needed
w8rr-4qky,false,data.austintexas.gov,table,City of Austin Lawsuit Settlements,City of Austin Lawsuit Settlements between 10/01/14 and 06/30/15,08/11/2015 09:41:44 PM +0000,08/11/2015 09:41:59 PM +0000,Government,"lawsuits,law,settle settlement,paid",163,133,Law,ledelc,,Quarterly
vzty-yezt,false,data.austintexas.gov,table,Sep 2013 Austin Animal Center Live Outcome Rate,Percentages of live outcomes for cats and dogs from Austin Animal Center in September 2013.,11/21/2013 05:20:50 PM +0000,11/21/2013 05:21:35 PM +0000,Government,"animals,animal services,september,2013,austin animal center",201,98,Animal Services,Austin Animal Center,,Monthly
cje8-pznp,false,data.austintexas.gov,table,ARR Household Hazardous Waste Totals Comparison of Fiscal Years 2010-2015,"Comparison of Disposal/ Recycling Costs, Weight Collected and Participation in the Household Hazardous Waste program for Fiscal Years 2010-2015.",09/14/2015 06:35:38 PM +0000,09/14/2015 06:48:28 PM +0000,,"household,hazardous,waste,participation,resource,recovery,arr",182,103,Austin Resource Recovery,erin.benoit@austintexas.gov,,Annually
qunj-fzvx,false,data.austintexas.gov,table,Austin Public Library Social Media Presence,The Austin Public Library maintains several social networking sites. Various Library staff are responsible for overall administration of these sites. The mission of these social networking sites is to promote Austin Public Library's resources and services. These sites might include thematic item lists from our collection; topics related to today's events and news; research tips; field trips to other libraries; Texas authors and artists; photos; videos; and library trends.,07/09/2015 06:37:07 PM +0000,06/10/2016 08:18:40 PM +0000,Fun,"library,social media",202,157,Library,Sarah,,As Needed
3tiy-6kg3,false,data.austintexas.gov,table,Claim Settlements for City of Austin,Claims settled between 10/01/14 and 06/30/15,08/11/2015 09:14:50 PM +0000,08/11/2015 09:27:15 PM +0000,Government,"claims,law,accident,paid,auto,liability",174,118,Law,ledelc,,Quarterly
rtwz-6ypq,false,data.austintexas.gov,table,February 2014 Austin Animal Center Outcomes,cat & dog outcome summary for February 2014,03/04/2014 04:29:52 PM +0000,03/04/2014 04:32:31 PM +0000,Government,"cat,dog,austin animal center,data,open government",176,107,Animal Services,Austin Animal Center,,Monthly
v7ft-5zy3,false,data.austintexas.gov,table,January 2014 Austin Animal Center Live Outcome Rates,Live outcome rates for all cats and dogs in January 2014.,02/03/2014 08:53:45 PM +0000,02/03/2014 08:55:54 PM +0000,Government,"cat,dog,austin animal,open government,data",183,95,Animal Services,Austin Animal Center,,Monthly
9ejy-j7t5,false,data.austintexas.gov,table,February 2014 Austin Animal Center Intakes,cat & dog intake summary for February 2014,03/04/2014 04:18:32 PM +0000,03/04/2014 04:21:42 PM +0000,Government,"cat,dog,austin animal center,data,open government",188,107,Animal Services,Austin Animal Center,,Monthly
tb3x-mddn,false,data.austintexas.gov,table,June 2014 Austin Animal Center Live Outcome Rates,cat and dog live outcome rates for the month of June 2014,07/02/2014 04:43:34 PM +0000,07/02/2014 04:44:38 PM +0000,Government,"cat,dog,pet,austin animal center,no kill,open government,data,live outcome",181,88,Animal Services,Austin Animal Center,,Monthly
7pv3-htyn,false,data.austintexas.gov,table,EPA Energy Star Portfolio Manager Score,"The EPA Energy Star Portfolio Manager score is a nationally-utilized online tool to measure and track energy and water consumption, as well as greenhouse gas emissions. These scores are for the Building Services Department's core facilities for FY2015 (Q1, Q2, and Q3).

*City Hall is not rate-able per EPA guidelines
**Public Safety Training Campus and Rutherford Lane Campus scores reflect averages of their respective rate-able buildings",08/03/2015 07:43:41 PM +0000,08/03/2015 09:03:00 PM +0000,Business,"building services,bsd,epa,portfolio manager score",178,124,Building Services,Korrie Melia,,Annually
pzre-m4ee,false,data.austintexas.gov,table,May 2014 Austin Animal Center Live Outcome Rates,cat & dog live outcome rates for the month of May 2014,06/02/2014 09:29:16 PM +0000,06/02/2014 09:30:32 PM +0000,Government,"cat,dog,pet,austin animal center,no kill,data,live outcome,open government",174,86,Animal Services,Austin Animal Center,,Monthly
5brd-nqzg,true,data.austintexas.gov,filter/grouped,TEST Feedback Form Table - moderated,TEST Feedback Form,02/20/2013 03:46:19 PM +0000,06/01/2014 05:33:13 PM +0000,,,35,73,Other,opendataatx,,As Needed
eff2-t5tb,false,data.austintexas.gov,table,2014: ECAD Multi-Family Audit and EUI Data,"This report is the result of the Austin City Code 6-7’s Energy Conservation Audit and Disclosure Ordinance approved in November 2008 (amended in April 2011) to improve the energy efficiency of homes and buildings that receive electricity from Austin Energy.  The ordinance meets one of the goals of the Austin Climate Protection Plan, which is to offset 800 megawatts of peak energy demand by 2020. In addition, this report contains information on multi-family properties older than 10 years that are required to perform an energy audit and report the results to the City of Austin and all residents living in those communities. The Austin Energy report quantifies the 2014 energy efficiency findings and the progress towards meeting City Council goals of Resolution 20081106-048.",02/26/2016 04:39:27 PM +0000,02/26/2016 05:19:02 PM +0000,Utility,"ecad,multifamily,audit,ordinance,building type,r-value,duct leakage,eui,20110421-002,austin,climate protection",159,199,Austin Energy,Michael McCarthy,,Annually
6hhf-f8fi,true,data.austintexas.gov,chart,OIS Incident Count by Year,,04/04/2016 06:11:26 PM +0000,10/29/2015 10:27:44 PM +0000,,,12,105,Austin Police ,Stuart Gano,,As Needed
8ih9-dnxa,false,data.austintexas.gov,table,Austin Water - Dillo Dirt Vendors,List of companies that have registered with Austin Water to purchase wholesale Dillo Dirt from the utility and offer retail sales of Dillo Dirt to the public.,08/14/2015 08:37:17 PM +0000,08/14/2015 08:37:27 PM +0000,Utility,"aw,water,wastewater,dillo dirt",190,139,Austin Water,Patricia Genty Andrade,,As Needed
7xxy-upkf,false,data.austintexas.gov,table,July 2014 Austin Animal Center Live Outcome Rates,cat and dog live outcome rates for the month of July 2014,08/01/2014 09:27:26 PM +0000,08/01/2014 09:29:32 PM +0000,Government,"cat,dog,pet,austin animal center,data,no kill,open government",165,82,Animal Services,Austin Animal Center,,Monthly
ba4t-mrbm,false,data.austintexas.gov,table,Sep 2013 Austin Animal Center Intake Count,Count of intakes for cats and dogs from Austin Animal Center in September 2013.,11/21/2013 05:08:16 PM +0000,11/21/2013 05:09:41 PM +0000,Government,"animals,animal services,september,2013,austin animal center",209,102,Animal Services,Austin Animal Center,,Monthly
k4zx-bu88,false,data.austintexas.gov,table,January 2014 Austin Animal Center Intakes,A count of all cat and dogs intakes for the month of January 2014.,02/03/2014 06:41:15 PM +0000,02/03/2014 06:44:33 PM +0000,Government,"cat,dog,austin animal,data,open government",179,97,Animal Services,Austin Animal Center,,Monthly
kwy8-mxxs,false,data.austintexas.gov,table,June 2014 Austin Animal Center Intakes,all cat and dog intakes for the month of June 2014,07/02/2014 04:06:53 PM +0000,07/02/2014 04:06:59 PM +0000,Government,"cat,dog,pet,intake,austin animal center,no kill,data",164,106,Animal Services,Austin Animal Center,,Monthly
immm-25ed,false,data.austintexas.gov,map,AFD Fire Stations,Austin Fire Department fire station locations,07/29/2015 08:39:37 PM +0000,,Public Safety,"afd,fire,stations",59,132,Austin Fire,Christine Thies,,Annually
mraw-36uy,false,data.austintexas.gov,external dataset,2003 2-foot Contours - clipped files,"The City of Austin through the Capital Area Council of Governments (CAPCOG) contracted Aerial Survey, Inc. to create the City of Austin's planimetric database. The planimetrics were created from imagery acquired in Spring 2003 using photogrammetric techniques. This particular layer represents contour elevation lines as of Spring 2003. Full metadata: ftp://ftp.ci.austin.tx.us/GIS-Data/Regional/planimetrics/contour.htm Note: These files are named and clipped by USGS 1:24,000 quads. Index map: ftp://ftp.ci.austin.tx.us/GIS-Data/Regional/contours/index.pdf This product is for informational purposes and may not have been prepared for or be suitable for legal, engineering, or surveying purposes. It does not represent an on-the-ground survey and represents only the approximate relative location of property boundaries. This product has been produced by the Communications and Technology Department for the sole purpose of geographic reference. No warranty is made by the City of Austin regarding specific accuracy or completeness.",05/01/2015 05:03:19 PM +0000,,Geodata,"elevation,contour,line,2003,2,two,foot,topographic,topography",35,95,Communication and Technology Management,Aubrey Drescher,,As Needed
hetr-8wqd,false,data.austintexas.gov,table,Carbon Intensity,"The Austin Energy system average carbon intensity is calculated as total greenhouse gas emissions at the point of combustion in pounds of CO2-equivalents divided by net generation in kWh from all Austin Energy resources. Generation resources include natural gas, coal and nuclear-powered units owned by Austin Energy, renewable resources owned by Austin Energy and all purchased power from renewable and non-renewable resources. Sales of GreenChoice® energy are subtracted from the net generation total since GreenChoice® customers can claim their carbon intensity to be 0 lbs of CO2-equivalents/kWh. Carbon dioxide equivalent is a measure used to compare the emissions of different greenhouse gases based on their global warming potential (GWP). Austin Energy’s system average carbon intensity is shown in pounds of CO2-eq/kWh per calendar year.",08/04/2015 09:45:35 PM +0000,05/12/2016 07:20:13 PM +0000,Utility,"carbon,carbon intensity,carbon dioxide,emissions",190,195,Austin Energy,Shannon Wisner,,Annually
t27c-irtz,false,data.austintexas.gov,blob,CWPP For Portal.gdb,"Community Wildfire Protection Plan 

The City of Austin’s Wildfire Database and Risk Models were developed to support wildfire planning and mitigation efforts in the City of Austin. The areas in Austin most likely to be impacted by wildfire are referred to as the Wildland Urban Interface. This data helps identify the potential impacts of wildfire to a diverse set of values ranging from the built environment and Critical Infrastructure to habitat and green infrastructure. A full description of the Risk model can be access through this link. http://www.austintexas.gov/sites/default/files/files/hsem/Section_4_-_Risk_Assessment.pdf

The Data was collected and analyzed by Joseph White Fire Behavior Researcher with Baylor University. It was derived from numerous sources as listed in the CWPP Risk Assessment Guide http://www.austintexas.gov/sites/default/files/files/hsem/Section_9_-_References.pdf

The data was created during the CWPP development process starting in April of 2013 and was refined up to the adoption of the CWPP and data in November of 2014.

The goal is to update the data every 5 years or as more updated data becomes available.",11/20/2015 03:11:05 PM +0000,11/20/2015 03:11:05 PM +0000,Public Safety,"cwpp,afd,fire,wildfire",94,94,Austin Fire,Christine Thies,,As Needed
jji9-e2m5,false,data.austintexas.gov,table,AFD Fire Stations,"List of the Austin Fire Department fire stations, including unit types assigned to each location",07/27/2015 08:41:59 PM +0000,07/15/2016 08:06:20 PM +0000,Public Safety,"afd,fire,stations",176,135,Austin Fire,Christine Thies,,Annually
kpdv-fdxg,false,data.austintexas.gov,table,July 2014 Austin Animal Center Monthly Intakes,all cat and dog intakes for the month of July 2014,08/01/2014 08:39:43 PM +0000,08/01/2014 08:42:12 PM +0000,,"cat,dog,pet,austin animal center,data,no kill,open government",167,80,Animal Services,Austin Animal Center,,Monthly
8jjf-bejx,false,data.austintexas.gov,table,September 2014 Austin Animal Center Intake Data,all cat and dog intakes for the month of September 2014,10/01/2014 08:26:41 PM +0000,10/01/2014 08:48:02 PM +0000,Government,"cat,dog,pet,austin animal center,no kill,data",186,85,Animal Services,Austin Animal Center,,Monthly
nvae-hbkt,true,data.austintexas.gov,chart,ACCD :: Discarded Materials – Fiscal Year 2013 – Summary view by Category and Sub-Category - Stacked Bar Chart by Quarter,"This dataset shows the Convention Center recycling efforts during fiscal year 2013. Data includes fiscal year, quarter and month of collection, the category (Recycling or waste), sub-category (recycled material, reused material and material sent to the landfill) and the weight in pounds for each.",07/20/2015 01:41:42 PM +0000,07/20/2015 01:49:47 PM +0000,Environmental,"convention center,recycle,reuse,landfill,waste",22,109,Convention Center,Chris G Hernandez,,Annually
fets-r8zs,false,data.austintexas.gov,external dataset,Critical Health Indicators,,08/14/2015 12:17:50 PM +0000,,Health,critical health indicators,23,113,Health and Human Services,Patrick Weaver,,Annually
un2z-dfva,false,data.austintexas.gov,table,Scheduled vs Unscheduled Maintenance,"Ratio of Scheduled vs Unscheduled Maintenance by Labor Hours (completed work o​rders) on the Building Services Department's core properties for FY2015 (Q1, Q2, and Q3).",08/03/2015 07:23:19 PM +0000,08/03/2015 07:23:41 PM +0000,Business,"building services,bsd",160,121,Building Services,Korrie Melia,,Annually
5a9w-uuwd,false,data.austintexas.gov,blob,Small Area Implementation Status by Category,"This report shows the status of recommendations from adopted City of Austin small area plans, such as neighborhood plan and station area plans, according to the type of recommendation.",09/22/2015 04:03:20 PM +0000,,Neighborhood,"plan,neighborhood,small area,tod,corridor,implementation",91,101,Planning and Zoning,Ming Chu,,Quarterly
2b2e-w4kf,false,data.austintexas.gov,table,Budget Billing,"Budget Billing is available to customers who prefer to avoid significant fluctuations in their monthly utility bills. With this program, Austin Energy takes an average of a customer's previous 12 months worth of utility bills to calculate an average utility bill payment. With Budget Billing, accounts are reviewed and adjusted every six months. 

The averages reflect all City of Austin utilities including electric, water, wastewater, solid waste, transportation and drainage fees.",08/17/2015 02:00:31 PM +0000,08/17/2015 02:00:41 PM +0000,Utility,"austin energy,budget billing",162,154,Austin Energy,Shannon Wisner,,Annually
duu4-9pgd,false,data.austintexas.gov,external dataset,Remaining Pervious Cover 2013,"Remaining pervious features are created from heads up digitizing using 2012/2013 Orthoimagery and 2012 Lidar where Orthoimagery is not available. 2012/2013 Orthoimagery collected by Sanborn Mapping Company for the GeoMap consortium. The source imagery used was 6-inch, natural color with an accuracy statement of horizontal positional displacement within +/-3.33 feet of well-defined ground features; accuracy is based on ground control and DEM data. The accuracy statement does not apply to vertical surface features, such as structures, appearing in the digital orthophotography due to inherent lean. This product has been produced by the Communications and Technology Department for the sole purpose of geographic reference. No warranty is made by the City of Austin regarding specific accuracy or completeness.",05/04/2015 09:07:54 PM +0000,,Environmental,"2013,park,pervious,cover,environment,open,space,planimetrics",42,88,Communication and Technology Management,Aubrey Drescher,,As Needed
btjx-7fri,false,data.austintexas.gov,table,Total Work Orders Requested and Completed by Trade,"Work orders managed by the Building Services Department.  Includes work orders requested as well as work orders completed segmented by trade for FY2015 (Q1, Q2, and Q3).",08/03/2015 08:54:24 PM +0000,08/03/2015 08:55:13 PM +0000,Business,"building services,bsd,work orders,trade",166,111,Building Services,Korrie Melia,,Annually
ewqz-mrzs,false,data.austintexas.gov,table,Bond Ratings,"Austin Energy has consistently maintained high bond ratings. A bond rating is a measure of a company’s credit quality, which includes the ability to repay its debt in a timely fashion. Austin Energy underwent a rating review in the fall of 2012 and received a step-up rating from one rating agency, while the other two rating agencies reaffirmed their prior ratings. The Council-approved rate increase was a key component in their “stable” outlook for Austin Energy. Fitch, Inc. upgraded the prior lien debt rating in FY2013 due in part to strong combined debt service coverage.",08/17/2015 03:08:29 PM +0000,09/06/2016 02:51:32 PM +0000,Utility,"""bond ratings"",""credit quality"",debt",189,254,Austin Energy,Shannon Wisner,,Annually
xtim-9ehs,false,data.austintexas.gov,table,Austin Water - Gallons of Water Treated,"Millions of gallons of water treated by year, month and Plant.",08/31/2015 10:26:57 PM +0000,02/17/2016 04:34:17 PM +0000,Utility,"aw,water,treated",161,135,Austin Water,Patricia Genty Andrade,,Monthly
drnt-j5qy,false,data.austintexas.gov,table,Sep 2013 Austin Animal Center Outcome Count,Count of outcomes for cats and dogs from Austin Animal Center in September 2013.,11/21/2013 05:12:24 PM +0000,11/21/2013 05:12:46 PM +0000,Government,"animals,animal services,september,2013,austin animal center",203,101,Animal Services,Austin Animal Center,,Monthly
9w5t-cuk2,false,data.austintexas.gov,table,Austin Animal Center FY15 Q1 Intakes,cat and dog intakes for the months of October to December 2014,01/09/2015 08:28:45 PM +0000,01/09/2015 08:41:18 PM +0000,Government,"cat,dog,pet,austin animal center,no kill,data,open government",175,92,Animal Services,Austin Animal Center,,Quarterly
5j2i-tq4k,false,data.austintexas.gov,table,COA FUEL BY DEPARTMENT,Breakdown of usage by Department and mileage per vehicle,06/29/2015 04:01:09 PM +0000,10/02/2016 10:00:32 AM +0000,Environmental,,255,126,Fleet Services,Fleet Services,,As Needed
u2ch-vcrm,true,data.austintexas.gov,chart,Plus 1 Fund - Dollars Dispersed Over Time,"The City of Austin's Plus 1 Fund provides emergency utility bill financial assistance to customers experiencing extreme hardships such as medical illness or sudden job loss. In 2009 the City of Austin doubled to $300,000 the amount of funding made available annually for this program. Beginning in fiscal year 2009, City of Austin employees were given the option to donate to the Plus 1 Fund through the City's annual Combined Charities Campaign, which raises money for local and regional charitable groups. Additionally, utility customers have the option to donate to the Plus 1 Fund when they make their monthly utility bill payments. Plus 1 funding is distributed to customers by more than a dozen social service agencies including Travis County Family Services and Meals on Wheels.",12/18/2015 09:42:57 PM +0000,12/18/2015 09:36:36 PM +0000,Utility,"""plus 1"",""utility bill donation"",""utility bill""",12,142,Austin Energy,Sarah Lambert,,Annually
pbam-er2r,false,data.austintexas.gov,table,Austin Water - List of Active Liquid Waste Haulers,List of active liquid waste haulers currently permitted by the City of Austin under the Liquid Waste Haulers Program.,08/12/2015 07:37:43 PM +0000,08/12/2015 08:47:10 PM +0000,Utility,"aw,water,waste haulers",177,120,Austin Water,Patricia Genty Andrade,,Monthly
2das-429j,true,data.austintexas.gov,chart,Austin Animal Center Cat Intakes - Chart,"Animal Center Intakes from Oct, 1st 2013 to current.",10/28/2015 07:47:05 PM +0000,10/03/2016 02:19:16 AM +0000,Health,"outcomes,animal,cat,dog,pet,no kill",23,108,Animal Services,Brad McCarty,,Daily
4sv9-5zm8,false,data.austintexas.gov,table,Aug 2013 Austin Animal Center Live Outcome Rate,Percentages of live outcomes for cats and dogs from Austin Animal Center in August 2013.,11/21/2013 05:18:21 PM +0000,11/21/2013 05:19:21 PM +0000,Government,"animals,animal services,august,2013,austin animal center",186,99,Animal Services,Austin Animal Center,,Monthly
bw6v-aead,false,data.austintexas.gov,table,July 2014 Austin Animal Center Outcomes,all cat and dog outcomes for the month of July 2014,08/01/2014 09:16:29 PM +0000,08/01/2014 09:16:35 PM +0000,Government,"cat,dog,pet,austin animal center,no kill,data,open government",179,86,Animal Services,Austin Animal Center,,Annually
vjva-hkxu,false,data.austintexas.gov,blob,Chromatograms GC2010 2014-03-19,Chromatograms GC2010 2014-03-19,01/20/2015 10:24:54 PM +0000,,,,58,78,Austin Police ,Colleen Waters,,Daily
fytz-zuei,false,data.austintexas.gov,table,Event Waivers,List of deadline and rule waivers related to special events occurring in the Right of Way.,08/06/2015 07:43:16 PM +0000,08/06/2015 07:43:26 PM +0000,Permitting,"event,waiver",160,106,Austin Transportation,jhrncir,,Annually
wtyt-mpzf,false,data.austintexas.gov,table,April 2014 Austin Animal Center Outcomes,cat & dog outcomes for the month of April 2014,05/02/2014 09:43:48 PM +0000,05/02/2014 09:46:37 PM +0000,Government,"cat,dog,pet,austin animal center,open government,data,no kill",171,71,Animal Services,Austin Animal Center,,Monthly
wm5h-icv3,false,data.austintexas.gov,story,"Part II Crime Rate Per 1,000 Population",,05/05/2016 05:02:02 PM +0000,05/05/2016 05:02:02 PM +0000,,,0,588,,jesse.rodriguez,,
